Clock frequency is approx. 1756.6 MHz
Memory mountain (MB/sec)
x       1       2       3       4       5       6       7       8       9       10      11      12      13      14      15      16      17      18      19      20      21      22      23      24      25      26      27      28      29      30      31      32
512m    12308   7832    5761    4190    2918    2273    1891    1644    1528    1435    1377    1316    1300    1276    1269    1264    1256    1247    1246    1244    1244    1247    1245    1243    1248    1246    1244    1245    1247    1249    1246    1247
256m    12328   7827    5750    4197    2913    2270    1889    1644    1529    1433    1375    1318    1300    1276    1271    1264    1257    1248    1246    1244    1244    1246    1246    1242    1249    1243    1244    1242    1250    1248    1248    1246
128m    12317   7812    5732    4190    2913    2268    1891    1642    1526    1434    1376    1316    1296    1271    1269    1262    1253    1244    1242    1241    1242    1242    1244    1242    1251    1245    1247    1240    1251    1253    1252    1245
64m     12277   7821    5719    4228    2903    2263    1881    1639    1525    1429    1370    1317    1292    1267    1271    1263    1249    1250    1238    1247    1254    1281    1404    1635    1744    1969    2148    2582    2986    3830    4538    1248
32m     12246   7780    5729    4105    2899    2258    1878    1637    1523    1420    1385    1340    1351    1353    1439    1264    1731    2425    2951    3520    4119    6756    9467    10087   10061   10030   10027   9974    10104   10009   9791    1242
16m     22011   14534   11216   9398    7760    6484    5735    5160    5273    5349    5456    5858    6068    6478    6978    4412    7490    7904    7982    8045    8438    9012    9579    10088   10122   10045   10071   10015   10088   9979    9790    4085
8m      35795   27652   20051   15059   12451   10442   9039    7868    8063    8163    8022    7840    7611    7594    7620    7406    7733    8030    8003    8065    8390    9021    9607    10047   10087   10075   10065   10060   9988    10014   9790    6185
4m      35678   26652   19914   14811   12451   10451   9083    7911    8060    8182    8037    7850    7626    7601    7601    7431    7736    8003    7997    8105    8442    9015    9581    10084   9983    9972    9965    9961    9957    10125   9808    6172
2m      35461   25462   19533   14608   12460   10427   9090    7911    8085    8174    8045    7873    7633    7638    7644    7614    7920    8100    8168    8319    8790    9384    9942    9773    10014   10059   9990    9962    10028   9816    10022   6164
1024k   35592   26840   19918   15319   12565   10552   9208    8057    8269    8396    8287    8199    8146    8329    8422    8160    9001    9396    9554    9630    9869    10029   10258   10304   10202   10461   10243   10368   10341   10495   10357   6428
512k    35438   29618   22476   17197   14488   12203   10574   9320    9697    9608    9741    10003   10222   10368   10454   9580    10468   10578   10510   10441   10593   10571   10593   10527   10495   10567   10528   10518   10532   10578   10479   8643
256k    36224   34338   28189   21142   16913   14095   12130   10571   10626   10603   10571   10659   10567   10593   10659   10569   10560   10623   10560   10552   10593   10571   10592   10530   10634   10498   10528   10441   10536   10499   10648   10488
128k    36031   34343   27958   21138   16917   14212   12182   10569   10628   10552   10571   10530   10637   10596   10499   10488   10564   10526   10356   10436   10592   10570   10592   10659   12037   10643   18064   10448   12156   26282   30068   10323
64k     36031   33233   27507   20977   16781   13983   12182   10659   10526   10658   10570   10659   10357   11082   24363   10323   33523   31653   29992   31970   30447   33319   31876   30351   29325   32789   31579   36700   35430   34253   33155   10675
32k     38761   35531   35528   35531   34157   32852   30454   29129   31653   31970   29062   30351   32789   36700   34253   32120   37610   35522   33648   31970   30447   29062   27793   35787   25568   33034   23675   30675   29600   28630   41260   19986
16k     39972   37572   35528   31978   31970   30544   36700   32120   35522   31970   29062   21408   19762   30675   28630   26847   37591   35522   22600   31970   30447   29042   27793   26622   25568   24592   23655   22836   22016   21313   20611   19986
