Clock frequency is approx. 3290.5 MHz
Memory mountain (MB/sec)
x       1       2       3       4       5       6       7       8       9       10      11      12      13      14      15      16      17      18      19      20      21      22      23      24      25      26      27      28      29      30      31      32
512m    23038   14468   10583   7531    5293    4148    3459    3009    2803    2689    2575    2466    2433    2388    2377    2359    2350    2335    2334    2330    2330    2332    2331    2328    2332    2335    2327    2329    2333    2340    2336    2330
256m    23217   14653   10816   7780    5468    4270    3551    3087    2866    2692    2580    2470    2435    2391    2374    2368    2345    2338    2333    2329    2332    2332    2332    2336    2336    2335    2332    2334    2340    2343    2332    2330
128m    23042   14459   10628   7605    5362    4174    3484    3022    2806    2641    2535    2426    2398    2343    2339    2307    2313    2303    2299    2330    2331    2293    2300    2294    2309    2301    2305    2308    2309    2312    2312    2333
64m     23287   14640   10873   7796    5465    4267    3542    3088    2858    2705    2590    2461    2431    2381    2370    2362    2360    2349    2325    2340    2352    2411    2639    3026    3186    3695    4047    4890    5551    7197    8850    2326
32m     23344   14722   10902   7875    5471    4251    3534    3080    2879    2713    2595    2535    2539    2598    2745    2394    3336    4594    5491    6720    7686    12065   14009   18691   18680   18746   18750   18610   18611   18626   17427   2338
16m     40561   27123   20871   17267   14007   11839   10397   9414    9640    10046   10586   11203   11577   12280   12888   8229    13867   14895   14925   15136   15840   16867   17920   18635   18733   18713   18729   18732   18648   18758   17426   7457
8m      66931   51218   37934   28958   23470   19603   16994   14848   15110   15321   15049   14680   14238   14241   14253   14131   14529   15005   15054   15224   15763   16888   18026   18648   18895   18904   18683   18716   18546   18888   17425   11582
4m      66687   50319   37537   28679   23376   19618   16972   14897   15085   15365   15108   14739   14276   14234   14288   14038   14456   15038   15030   15205   15961   16735   18056   18655   18816   18813   18729   18756   18636   18776   17464   11568
2m      66427   47921   37325   28055   23438   19668   17048   14987   15132   15335   15071   14647   14394   14253   14358   14412   14502   14986   15100   15490   16173   17513   18676   18628   18874   18724   18901   18596   18785   18724   18737   11547
1024k   66241   49885   37640   28977   23574   20030   17331   14952   15391   15664   15559   15377   15182   15648   15801   15409   17149   18087   18300   18564   18582   19201   19159   19016   19660   19593   19383   19284   19514   19734   19630   11745
512k    66385   56459   43541   33394   27580   22738   20025   17332   17859   17789   18106   18202   18316   18822   19216   17363   19440   19362   19687   19761   19630   19802   19843   19597   19789   19925   19721   19843   19730   19815   19783   16190
256k    66908   59901   47683   36031   29151   24575   21147   18504   18683   18792   18737   19359   19276   19284   19660   18294   19781   19720   19594   19766   19634   19801   19614   19725   19920   19925   19992   19559   19736   19666   19636   17618
128k    67495   63895   51956   39597   31689   26398   22819   19806   19908   19756   19801   19966   19925   19559   19967   19647   19789   19719   19789   19965   19841   19799   19840   19966   22547   19937   33839   20134   23603   45638   51526   19337
64k     67033   63054   51527   39294   31435   26194   22437   19967   20099   19965   19799   19966   19937   26329   45638   19967   56377   53233   56183   59887   57035   62414   52081   49906   54932   52815   50866   68139   55061   53233   77290   17641
32k     72608   70472   69514   63128   63984   66553   62359   59901   66541   68660   62414   57217   52815   68748   64164   42923   70453   53470   63031   59887   57035   36293   41836   67037   47895   61881   44348   57461   54632   53630   38645   30084
16k     74877   70564   72457   66722   59887   66541   57035   60169   53470   59887   73127   40103   46067   57461   53630   50290   35208   66541   31515   40222   57035   54403   52063   49869   23947   46067   29324   42776   41241   39925   38608   37438
